% MoM Electric Field Results - Generated: 2025-06-01 13:19:19
% Distance(m)	Field_dB	Magnitude(V/m)	Real(V/m)	Imag(V/m)	Phase(deg)
0.077267	20.253300	7.251137e+01	4.807462e+01	5.428378e+01	48.471
0.154534	20.619207	7.563142e+01	4.843834e+01	5.808476e+01	50.174
0.231801	20.988230	7.891412e+01	4.924477e+01	6.166353e+01	51.389
0.309068	21.366877	8.243069e+01	5.068037e+01	6.501014e+01	52.061
0.386335	21.746433	8.611307e+01	5.284997e+01	6.798781e+01	52.140
0.463602	22.111506	8.981020e+01	5.585542e+01	7.032811e+01	51.543
0.540868	22.448739	9.336642e+01	5.974747e+01	7.174628e+01	50.214
0.618135	22.740796	9.656005e+01	6.436521e+01	7.197891e+01	48.196
0.695402	22.960122	9.903034e+01	6.929308e+01	7.074940e+01	45.596
0.772669	23.078957	1.003957e+02	7.397857e+01	6.787094e+01	42.535
0.849936	23.082516	1.004381e+02	7.782943e+01	6.348537e+01	39.204
0.927203	22.968834	9.913351e+01	8.027276e+01	5.816990e+01	35.929
1.004470	22.748973	9.665715e+01	8.096613e+01	5.279291e+01	33.106
1.081737	22.465141	9.355124e+01	8.013352e+01	4.827477e+01	31.066
1.159004	22.206036	9.080336e+01	7.867821e+01	4.533200e+01	29.949
1.236271	22.079818	8.949508e+01	7.786486e+01	4.411841e+01	29.536
1.313538	22.144755	9.016847e+01	7.876098e+01	4.389831e+01	29.134
1.390805	22.359808	9.243077e+01	8.172226e+01	4.318471e+01	27.853
1.468071	22.610301	9.513733e+01	8.608276e+01	4.050764e+01	25.200
1.545338	22.773871	9.694819e+01	9.027701e+01	3.534138e+01	21.379
1.622605	22.771193	9.692072e+01	9.263506e+01	2.850211e+01	17.102
1.699872	22.603321	9.506800e+01	9.255528e+01	2.171278e+01	13.202
1.777139	22.372962	9.258235e+01	9.109461e+01	1.653068e+01	10.285
1.854406	22.242592	9.120573e+01	9.024428e+01	1.320815e+01	8.327
1.931673	22.308949	9.190790e+01	9.132561e+01	1.032933e+01	6.453
2.008940	22.506608	9.402627e+01	9.384610e+01	5.818112e+00	3.548
2.086207	22.673451	9.585291e+01	9.584500e+01	-1.231218e+00	-0.736
2.163474	22.687693	9.601341e+01	9.553414e+01	-9.581337e+00	-5.727
2.240741	22.543153	9.443214e+01	9.290117e+01	-1.693526e+01	-10.331
2.318008	22.361059	9.247634e+01	8.977354e+01	-2.219427e+01	-13.887
2.395274	22.312100	9.195996e+01	8.803969e+01	-2.656403e+01	-16.790
2.472541	22.442904	9.335886e+01	8.761426e+01	-3.224309e+01	-20.204
2.549808	22.613130	9.521029e+01	8.639066e+01	-4.002065e+01	-24.856
2.627075	22.653246	9.565492e+01	8.251914e+01	-4.837825e+01	-30.382
2.704342	22.532298	9.433613e+01	7.654655e+01	-5.513556e+01	-35.765
2.781609	22.379844	9.269877e+01	7.077389e+01	-5.986751e+01	-40.228
2.858876	22.358239	9.247257e+01	6.643560e+01	-6.432329e+01	-44.075
2.936143	22.481524	9.379871e+01	6.216172e+01	-7.024328e+01	-48.493
3.013410	22.604653	9.514227e+01	5.573857e+01	-7.710554e+01	-54.137
3.090677	22.596989	9.506290e+01	4.696266e+01	-8.265267e+01	-60.395
3.167944	22.469967	9.368740e+01	3.787558e+01	-8.568996e+01	-66.154
