# Urban Hata Model Propagation Results
# Current Date and Time (UTC - YYYY-MM-DD HH:MM:SS formatted): 2025-06-01 14:33:38
Parameters:
- Frequency: 970.00 MHz
- Base station height: 50.00 m
- Mobile station height: 1.50 m
- Transmitter power: 43.00 dBm

Distance(m)	PathLoss(dB)	FieldStrength(dB)	E-field(V/m)
0.077267	22.889863	157.064568	7.132280e+01
0.154534	22.889863	157.064568	7.132280e+01
0.231801	22.889863	157.064568	7.132280e+01
0.309068	22.889863	157.064568	7.132280e+01
0.386335	22.889863	157.064568	7.132280e+01
0.463602	22.889863	157.064568	7.132280e+01
0.540868	22.889863	157.064568	7.132280e+01
0.618135	22.889863	157.064568	7.132280e+01
0.695402	22.889863	157.064568	7.132280e+01
0.772669	22.889863	157.064568	7.132280e+01
0.849936	22.889863	157.064568	7.132280e+01
0.927203	22.889863	157.064568	7.132280e+01
1.004470	22.955276	156.999154	7.078768e+01
1.081737	24.042209	155.912221	6.246130e+01
1.159004	25.054120	154.900311	5.559241e+01
1.236271	26.000699	153.953732	4.985246e+01
1.313538	26.889873	153.064557	4.500159e+01
1.390805	27.728209	152.226222	4.086120e+01
1.468071	28.521206	151.433224	3.729591e+01
1.545338	29.273519	150.680911	3.420153e+01
1.622605	29.989119	149.965312	3.149674e+01
1.699872	30.671422	149.283008	2.911725e+01
1.777139	31.323391	148.631039	2.701170e+01
1.854406	31.947608	148.006822	2.513860e+01
1.931673	32.546340	147.408091	2.346413e+01
2.008940	33.121585	146.832845	2.196050e+01
2.086207	33.675118	146.279312	2.060467e+01
2.163474	34.208518	145.745912	1.937741e+01
2.240741	34.723198	145.231232	1.826256e+01
2.318008	35.220428	144.734002	1.724647e+01
2.395274	35.701353	144.253077	1.631751e+01
2.472541	36.167007	143.787423	1.546576e+01
2.549808	36.618332	143.336099	1.468267e+01
2.627075	37.056182	142.898249	1.396087e+01
2.704342	37.481338	142.473092	1.329397e+01
2.781609	37.894517	142.059913	1.267639e+01
2.858876	38.296375	141.658055	1.210327e+01
2.936143	38.687515	141.266915	1.157033e+01
3.013410	39.068494	140.885936	1.107380e+01
3.090677	39.439828	140.514603	1.061036e+01
3.167944	39.801991	140.152439	1.017705e+01
3.245211	40.155427	139.799003	9.771251e+00
3.322477	40.500547	139.453884	9.390618e+00
3.399744	40.837731	139.116699	9.033062e+00
3.477011	41.167338	138.787093	8.696703e+00
3.554278	41.489700	138.464731	8.379855e+00
3.631545	41.805129	138.149302	8.080999e+00
3.708812	42.113917	137.840514	7.798762e+00
3.786079	42.416337	137.538093	7.531902e+00
3.863346	42.712648	137.241782	7.279292e+00
3.940613	43.003091	136.951339	7.039908e+00
4.017880	43.287894	136.666537	6.812819e+00
4.095147	43.567271	136.387159	6.597174e+00
4.172414	43.841427	136.113004	6.392197e+00
4.249680	44.110551	135.843879	6.197178e+00
4.326947	44.374827	135.579604	6.011463e+00
4.404214	44.634424	135.320006	5.834455e+00
4.481481	44.889507	135.064923	5.665603e+00
4.558748	45.140229	134.814201	5.504401e+00
