Distance_m,Current_Mag,Current_Phase_deg,Field_Mag,Field_dB
0.077267,2.228588e-01,115.117,7.251137e+01,20.253
0.154534,2.376645e-01,143.622,7.563142e+01,20.619
0.231801,2.591308e-01,139.310,7.891412e+01,20.988
0.309068,2.522848e-01,136.266,8.243069e+01,21.367
0.386335,2.448186e-01,136.584,8.611307e+01,21.746
0.463602,2.476059e-01,137.069,8.981020e+01,22.112
0.540868,2.515719e-01,135.732,9.336642e+01,22.449
0.618135,2.500584e-01,134.005,9.656005e+01,22.741
0.695402,2.474458e-01,133.135,9.903034e+01,22.960
0.772669,2.483656e-01,132.369,1.003957e+02,23.079
0.849936,2.502311e-01,130.793,1.004381e+02,23.083
0.927203,2.496296e-01,128.881,9.913351e+01,22.969
1.004470,2.481726e-01,127.317,9.665715e+01,22.749
1.081737,2.485432e-01,125.809,9.355124e+01,22.465
1.159004,2.496918e-01,123.801,9.080336e+01,22.206
1.236271,2.494459e-01,121.487,8.949508e+01,22.080
1.313538,2.484714e-01,119.320,9.016847e+01,22.145
1.390805,2.485815e-01,117.183,9.243077e+01,22.360
1.468071,2.493766e-01,114.691,9.513733e+01,22.610
1.545338,2.493204e-01,111.913,9.694819e+01,22.774
1.622605,2.486115e-01,109.173,9.692072e+01,22.771
1.699872,2.485668e-01,106.446,9.506800e+01,22.603
1.777139,2.491431e-01,103.452,9.258235e+01,22.373
1.854406,2.492053e-01,100.184,9.120573e+01,22.243
1.931673,2.486742e-01,96.884,9.190790e+01,22.309
2.008940,2.485268e-01,93.585,9.402627e+01,22.507
2.086207,2.489422e-01,90.077,9.585291e+01,22.673
2.163474,2.490823e-01,86.310,9.601341e+01,22.688
2.240741,2.486898e-01,82.459,9.443214e+01,22.543
2.318008,2.484736e-01,78.595,9.247634e+01,22.361
2.395274,2.487549e-01,74.568,9.195996e+01,22.312
2.472541,2.489431e-01,70.296,9.335886e+01,22.443
2.549808,2.486705e-01,65.902,9.521029e+01,22.613
2.627075,2.484132e-01,61.477,9.565492e+01,22.653
2.704342,2.485741e-01,56.924,9.433613e+01,22.532
2.781609,2.487836e-01,52.145,9.269877e+01,22.380
2.858876,2.486197e-01,47.214,9.247257e+01,22.358
2.936143,2.483482e-01,42.231,9.379871e+01,22.482
3.013410,2.483988e-01,37.147,9.514227e+01,22.605
3.090677,2.486027e-01,31.859,9.506290e+01,22.597
3.167944,2.485367e-01,26.397,9.368740e+01,22.470
3.245211,2.482779e-01,20.861,9.258169e+01,22.366
3.322477,2.482310e-01,15.238,9.303343e+01,22.408
3.399744,2.484027e-01,9.439,9.444765e+01,22.539
3.477011,2.484191e-01,3.454,9.505935e+01,22.594
3.554278,2.481987e-01,-2.632,9.411273e+01,22.507
3.631545,2.480734e-01,-8.798,9.280191e+01,22.385
3.708812,2.481891e-01,-15.113,9.277228e+01,22.381
3.786079,2.482646e-01,-21.615,9.395336e+01,22.491
3.863346,2.481035e-01,-28.245,9.471958e+01,22.561
3.940613,2.479275e-01,-34.957,9.410140e+01,22.503
4.017880,2.479701e-01,-41.794,9.292912e+01,22.394
4.095147,2.480734e-01,-48.809,9.266237e+01,22.368
4.172414,2.479834e-01,-55.975,9.351144e+01,22.447
4.249680,2.477912e-01,-63.235,9.426309e+01,22.516
4.326947,2.477553e-01,-70.600,9.391814e+01,22.484
4.404214,2.478500e-01,-78.127,9.287652e+01,22.386
4.481481,2.478292e-01,-85.820,9.241912e+01,22.343
4.558748,2.476574e-01,-93.626,9.306198e+01,22.402
4.636015,2.475527e-01,-101.527,9.383927e+01,22.474
4.713282,2.476043e-01,-109.569,9.358812e+01,22.450
4.790549,2.476351e-01,-117.780,9.252801e+01,22.350
4.867816,2.475140e-01,-126.127,9.202411e+01,22.302
4.945083,2.473658e-01,-134.569,9.266068e+01,22.362
5.022350,2.473503e-01,-143.131,9.336708e+01,22.427
5.099617,2.474014e-01,-151.856,9.299023e+01,22.391
5.176883,2.473460e-01,-160.733,9.195356e+01,22.293
5.254150,2.471899e-01,-169.717,9.159259e+01,22.258
5.331417,2.471033e-01,-178.809,9.219237e+01,22.314
5.408684,2.471374e-01,171.953,9.265426e+01,22.357
5.485951,2.471399e-01,162.556,9.217994e+01,22.312
5.563218,2.470116e-01,153.033,9.131313e+01,22.229
5.640485,2.468737e-01,143.405,9.104112e+01,22.202
5.717752,2.468599e-01,133.650,9.144777e+01,22.240
5.795019,2.468898e-01,123.741,9.172318e+01,22.265
5.872286,2.468123e-01,113.686,9.131030e+01,22.225
5.949553,2.466618e-01,103.518,9.053907e+01,22.151
6.026820,2.465880e-01,93.239,9.017422e+01,22.115
6.104086,2.466021e-01,82.819,9.044257e+01,22.140
6.181353,2.465752e-01,72.244,9.071524e+01,22.165
6.258620,2.464550e-01,61.539,9.031243e+01,22.126
6.335887,2.463341e-01,50.729,8.944211e+01,22.041
6.413154,2.462954e-01,39.794,8.900537e+01,21.998
6.490421,2.462947e-01,28.706,8.931451e+01,22.027
6.567688,2.462309e-01,17.474,8.957294e+01,22.051
6.644955,2.460959e-01,6.129,8.900136e+01,21.994
6.722222,2.459937e-01,-5.330,8.801581e+01,21.897
6.799489,2.459818e-01,-16.929,8.765948e+01,21.861
6.876756,2.459673e-01,-28.676,8.803577e+01,21.897
6.954023,2.458548e-01,-40.552,8.813258e+01,21.906
7.031289,2.457139e-01,-52.544,8.733658e+01,21.826
7.108556,2.456606e-01,-64.658,8.635234e+01,21.727
7.185823,2.456560e-01,-76.911,8.614222e+01,21.704
7.263090,2.455853e-01,-89.311,8.648323e+01,21.738
7.340357,2.454542e-01,-101.836,8.632368e+01,21.721
7.417624,2.453541e-01,-114.472,8.536769e+01,21.623
7.494891,2.453099e-01,-127.234,8.447869e+01,21.531
7.572158,2.452722e-01,-140.147,8.436845e+01,21.519
7.649425,2.451921e-01,-153.198,8.457148e+01,21.539
7.726692,2.450665e-01,-166.360,8.417187e+01,21.496
7.803959,2.449585e-01,-179.640,8.313748e+01,21.388
7.881226,2.449241e-01,166.938,8.231914e+01,21.301
7.958492,2.448961e-01,153.376,8.222487e+01,21.290
8.035759,2.447772e-01,139.688,8.231819e+01,21.299
8.113026,2.446300e-01,125.879,8.176864e+01,21.240
8.190293,2.445707e-01,111.947,8.061292e+01,21.115
8.267560,2.445474e-01,97.884,7.972206e+01,21.017
8.344827,2.444548e-01,83.677,7.962274e+01,21.005
8.422094,2.443302e-01,69.337,7.976099e+01,21.019
8.499361,2.442370e-01,54.891,7.920895e+01,20.958
8.576628,2.441555e-01,40.323,7.788340e+01,20.810
8.653895,2.440886e-01,25.603,7.666132e+01,20.672
8.731162,2.440353e-01,10.747,7.629456e+01,20.629
8.808429,2.439145e-01,-4.216,7.652524e+01,20.654
8.885695,2.437555e-01,-19.304,7.641793e+01,20.640
8.962962,2.437084e-01,-34.534,7.542471e+01,20.526
9.040229,2.437044e-01,-49.884,7.392706e+01,20.350
9.117496,2.435568e-01,-65.365,7.269113e+01,20.203
9.194763,2.433897e-01,-80.990,7.201561e+01,20.120
9.272030,2.433674e-01,-96.722,7.163716e+01,20.073
9.349297,2.432961e-01,-112.557,7.129232e+01,20.030
9.426564,2.431207e-01,-128.565,7.103559e+01,19.998
9.503831,2.431065e-01,-144.720,7.092302e+01,19.983
9.581098,2.430751e-01,-160.928,7.061159e+01,19.943
9.658365,2.427251e-01,-177.278,6.956710e+01,19.812
9.735632,2.426907e-01,166.139,6.765590e+01,19.569
9.812898,2.431509e-01,149.562,6.533945e+01,19.265
9.890165,2.421037e-01,133.002,6.322556e+01,18.978
9.967432,2.431893e-01,115.049,6.149594e+01,18.736
10.044699,2.397109e-01,94.680,5.587012e+01,17.901
10.121966,2.372822e-01,72.644,4.712614e+01,16.421
10.199233,2.386602e-01,49.737,3.866624e+01,14.701
10.276500,2.390039e-01,26.407,3.106592e+01,12.798
10.353767,2.384906e-01,3.023,2.457702e+01,10.761
10.431034,2.379370e-01,-20.338,1.923030e+01,8.629
10.508301,2.377933e-01,-43.773,1.514650e+01,6.553
10.585568,2.379177e-01,-67.387,1.270941e+01,5.028
10.662835,2.379476e-01,-91.191,1.228407e+01,4.730
10.740101,2.377313e-01,-115.122,1.351820e+01,5.560
10.817368,2.374160e-01,-139.129,1.570863e+01,6.863
10.894635,2.372176e-01,-163.224,1.844005e+01,8.253
10.971902,2.371781e-01,172.549,2.137327e+01,9.534
11.049169,2.371582e-01,148.164,2.415885e+01,10.596
11.126436,2.370229e-01,123.641,2.659982e+01,11.430
11.203703,2.367856e-01,99.013,2.866949e+01,12.079
11.280970,2.365679e-01,74.290,3.049896e+01,12.614
11.358237,2.364517e-01,49.453,3.226362e+01,13.101
11.435504,2.363965e-01,24.476,3.392356e+01,13.535
11.512771,2.362987e-01,-0.641,3.525813e+01,13.868
11.590038,2.361132e-01,-25.879,3.616551e+01,14.087
11.667304,2.358961e-01,-51.218,3.676554e+01,14.228
11.744571,2.357314e-01,-76.664,3.734779e+01,14.363
11.821838,2.356362e-01,-102.236,3.824568e+01,14.567
11.899105,2.355503e-01,-127.945,3.956792e+01,14.860
11.976372,2.354076e-01,-153.783,4.115269e+01,15.199
12.053639,2.352087e-01,-179.732,4.286497e+01,15.552
12.130906,2.350156e-01,154.213,4.472514e+01,15.919
12.208173,2.348784e-01,128.045,4.675326e+01,16.302
12.285440,2.347814e-01,101.747,4.887190e+01,16.685
12.362707,2.346670e-01,75.317,5.087376e+01,17.031
12.439974,2.344997e-01,48.766,5.246950e+01,17.298
12.517241,2.343018e-01,22.107,5.356480e+01,17.475
12.594507,2.341276e-01,-4.661,5.441104e+01,17.609
12.671774,2.340021e-01,-31.547,5.537337e+01,17.760
12.749041,2.338951e-01,-58.562,5.669072e+01,17.962
12.826308,2.337588e-01,-85.705,5.837608e+01,18.214
12.903575,2.335790e-01,-112.964,6.019139e+01,18.478
12.980842,2.333866e-01,-140.330,6.185626e+01,18.713
13.058109,2.332247e-01,-167.807,6.330348e+01,18.912
13.135376,2.331018e-01,164.595,6.460012e+01,19.086
13.212643,2.329832e-01,136.870,6.579055e+01,19.242
13.289910,2.328316e-01,109.021,6.692264e+01,19.389
13.367177,2.326461e-01,81.060,6.803624e+01,19.530
13.444444,2.324594e-01,52.991,6.915713e+01,19.670
13.521710,2.323040e-01,24.809,7.038532e+01,19.820
13.598977,2.321790e-01,-3.495,7.179584e+01,19.991
13.676244,2.320500e-01,-31.923,7.326225e+01,20.164
13.753511,2.318883e-01,-60.472,7.456611e+01,20.315
13.830778,2.317006e-01,-89.131,7.558849e+01,20.431
13.908045,2.315179e-01,-117.899,7.635856e+01,20.517
13.985312,2.313646e-01,-146.780,7.708571e+01,20.597
14.062579,2.312353e-01,-175.782,7.804545e+01,20.703
14.139846,2.310982e-01,155.093,7.928777e+01,20.838
14.217113,2.309303e-01,125.850,8.058851e+01,20.977
14.294380,2.307419e-01,96.497,8.168946e+01,21.093
14.371647,2.305609e-01,67.036,8.246579e+01,21.173
14.448913,2.304067e-01,37.462,8.299405e+01,21.226
14.526180,2.302726e-01,7.768,8.354268e+01,21.281
14.603447,2.301296e-01,-22.048,8.433263e+01,21.360
14.680714,2.299583e-01,-51.979,8.531212e+01,21.458
14.757981,2.297695e-01,-82.020,8.626532e+01,21.553
14.835248,2.295883e-01,-112.169,8.701848e+01,21.626
14.912515,2.294312e-01,-142.430,8.751042e+01,21.673
14.989782,2.292923e-01,-172.811,8.785038e+01,21.704
15.067049,2.291453e-01,156.690,8.826271e+01,21.743
15.144316,2.289725e-01,126.075,8.883444e+01,21.796
15.221583,2.287836e-01,95.351,8.945288e+01,21.854
15.298850,2.286006e-01,64.520,8.999834e+01,21.905
15.376116,2.284389e-01,33.578,9.039573e+01,21.941
15.453383,2.282953e-01,2.518,9.061293e+01,21.959
15.530650,2.281458e-01,-28.660,9.076516e+01,21.972
15.607917,2.279730e-01,-59.952,9.098789e+01,21.991
15.685184,2.277844e-01,-91.353,9.123828e+01,22.012
15.762451,2.275985e-01,-122.860,9.144575e+01,22.030
15.839718,2.274310e-01,-154.478,9.160990e+01,22.043
15.916985,2.272826e-01,173.789,9.166943e+01,22.046
15.994252,2.271314e-01,141.940,9.161114e+01,22.038
16.071519,2.269597e-01,109.976,9.154953e+01,22.030
16.148786,2.267723e-01,77.903,9.148562e+01,22.022
16.226053,2.265830e-01,45.725,9.133890e+01,22.005
16.303319,2.264088e-01,13.438,9.116095e+01,21.986
16.380586,2.262549e-01,-18.962,9.097234e+01,21.966
16.457853,2.261020e-01,-51.477,9.069500e+01,21.937
16.535120,2.259326e-01,-84.106,9.036631e+01,21.903
16.612387,2.257476e-01,-116.844,9.003120e+01,21.868
16.689654,2.255553e-01,-149.687,8.959613e+01,21.824
16.766921,2.253739e-01,177.362,8.905662e+01,21.769
16.844188,2.252135e-01,144.302,8.852305e+01,21.714
16.921455,2.250577e-01,111.128,8.798779e+01,21.659
16.998722,2.248913e-01,77.839,8.739388e+01,21.598
17.075989,2.247103e-01,44.442,8.677071e+01,21.533
17.153256,2.245159e-01,10.940,8.609924e+01,21.463
17.230522,2.243278e-01,-22.669,8.528751e+01,21.379
17.307789,2.241598e-01,-56.384,8.437169e+01,21.283
17.385056,2.239990e-01,-90.211,8.349130e+01,21.189
17.462323,2.238354e-01,-124.152,8.264590e+01,21.098
17.539590,2.236599e-01,-158.202,8.173612e+01,20.999
17.616857,2.234653e-01,167.643,8.077426e+01,20.894
17.694124,2.232725e-01,133.382,7.976631e+01,20.783
17.771391,2.230956e-01,99.017,7.860170e+01,20.652
17.848658,2.229269e-01,64.543,7.731810e+01,20.507
17.925925,2.227651e-01,29.957,7.611206e+01,20.368
18.003192,2.225952e-01,-4.738,7.498269e+01,20.235
18.080459,2.224027e-01,-39.541,7.377113e+01,20.091
18.157725,2.222091e-01,-74.448,7.245771e+01,19.933
18.234992,2.220230e-01,-109.456,7.109451e+01,19.765
18.312259,2.218432e-01,-144.572,6.963941e+01,19.583
18.389526,2.216816e-01,-179.798,6.806618e+01,19.382
18.466793,2.215148e-01,144.869,6.649508e+01,19.177
18.544060,2.213264e-01,109.426,6.505490e+01,18.984
18.621327,2.211382e-01,73.879,6.364668e+01,18.791
18.698594,2.209430e-01,38.233,6.205223e+01,18.568
18.775861,2.207511e-01,2.480,6.027137e+01,18.313
18.853128,2.205882e-01,-33.379,5.848267e+01,18.049
18.930395,2.204173e-01,-69.342,5.674976e+01,17.785
19.007662,2.202349e-01,-105.419,5.500480e+01,17.511
19.084928,2.200595e-01,-141.599,5.320144e+01,17.219
