% MoM Surface Current Results - Generated: 2025-06-01 15:59:53
% Distance(m)	Magnitude(A/m)	Real(A/m)	Imag(A/m)	Phase(deg)
0.077267	2.228588e-01	-9.459555e-02	2.017863e-01	115.117
0.154534	2.376645e-01	-1.913477e-01	1.409628e-01	143.622
0.231801	2.591308e-01	-1.964855e-01	1.689445e-01	139.310
0.309068	2.522848e-01	-1.822887e-01	1.744089e-01	136.266
0.386335	2.448186e-01	-1.778314e-01	1.682621e-01	136.584
0.463602	2.476059e-01	-1.812917e-01	1.686476e-01	137.069
0.540868	2.515719e-01	-1.801450e-01	1.756024e-01	135.732
0.618135	2.500584e-01	-1.737213e-01	1.798614e-01	134.005
0.695402	2.474458e-01	-1.691820e-01	1.805738e-01	133.135
0.772669	2.483656e-01	-1.673729e-01	1.834987e-01	132.369
0.849936	2.502311e-01	-1.634841e-01	1.894427e-01	130.793
0.927203	2.496296e-01	-1.566933e-01	1.943249e-01	128.881
1.004470	2.481726e-01	-1.504499e-01	1.973689e-01	127.317
1.081737	2.485432e-01	-1.454191e-01	2.015614e-01	125.809
1.159004	2.496918e-01	-1.389054e-01	2.074881e-01	123.801
1.236271	2.494459e-01	-1.302873e-01	2.127169e-01	121.487
1.313538	2.484714e-01	-1.216737e-01	2.166415e-01	119.320
1.390805	2.485815e-01	-1.135594e-01	2.211267e-01	117.183
1.468071	2.493766e-01	-1.041721e-01	2.265764e-01	114.691
1.545338	2.493204e-01	-9.304604e-02	2.313074e-01	111.913
1.622605	2.486115e-01	-8.164739e-02	2.348220e-01	109.173
1.699872	2.485668e-01	-7.037071e-02	2.383976e-01	106.446
1.777139	2.491431e-01	-5.795622e-02	2.423084e-01	103.452
1.854406	2.492053e-01	-4.406175e-02	2.452791e-01	100.184
1.931673	2.486742e-01	-2.980607e-02	2.468814e-01	96.884
2.008940	2.485268e-01	-1.553820e-02	2.480406e-01	93.585
2.086207	2.489422e-01	-3.362157e-04	2.489420e-01	90.077
2.163474	2.490823e-01	1.603062e-02	2.485659e-01	86.310
2.240741	2.486898e-01	3.263541e-02	2.465392e-01	82.459
2.318008	2.484736e-01	4.913320e-02	2.435674e-01	78.595
2.395274	2.487549e-01	6.619202e-02	2.397866e-01	74.568
2.472541	2.489431e-01	8.393390e-02	2.343668e-01	70.296
2.549808	2.486705e-01	1.015328e-01	2.269980e-01	65.902
2.627075	2.484132e-01	1.186202e-01	2.182622e-01	61.477
2.704342	2.485741e-01	1.356595e-01	2.082921e-01	56.924
2.781609	2.487836e-01	1.526701e-01	1.964309e-01	52.145
2.858876	2.486197e-01	1.688788e-01	1.824601e-01	47.214
2.936143	2.483482e-01	1.838862e-01	1.669212e-01	42.231
3.013410	2.483988e-01	1.979968e-01	1.499974e-01	37.147
3.090677	2.486027e-01	2.111514e-01	1.312187e-01	31.859
3.167944	2.485367e-01	2.226224e-01	1.104978e-01	26.397
3.245211	2.482779e-01	2.320033e-01	8.841051e-02	20.861
3.322477	2.482310e-01	2.395034e-01	6.524368e-02	15.238
3.399744	2.484027e-01	2.450397e-01	4.073631e-02	9.439
3.477011	2.484191e-01	2.479678e-01	1.496728e-02	3.454
3.554278	2.481987e-01	2.479367e-01	-1.139964e-02	-2.632
3.631545	2.480734e-01	2.451547e-01	-3.794175e-02	-8.798
3.708812	2.481891e-01	2.396052e-01	-6.470843e-02	-15.113
3.786079	2.482646e-01	2.308071e-01	-9.145162e-02	-21.615
3.863346	2.481035e-01	2.185623e-01	-1.174132e-01	-28.245
3.940613	2.479275e-01	2.031968e-01	-1.420532e-01	-34.957
4.017880	2.479701e-01	1.848734e-01	-1.652603e-01	-41.794
4.095147	2.480734e-01	1.633750e-01	-1.866789e-01	-48.809
4.172414	2.479834e-01	1.387616e-01	-2.055261e-01	-55.975
4.249680	2.477912e-01	1.115883e-01	-2.212431e-01	-63.235
4.326947	2.477553e-01	8.229294e-02	-2.336890e-01	-70.600
4.404214	2.478500e-01	5.099292e-02	-2.425476e-01	-78.127
4.481481	2.478292e-01	1.806465e-02	-2.471700e-01	-85.820
4.558748	2.476574e-01	-1.566427e-02	-2.471615e-01	-93.626
4.636015	2.475527e-01	-4.947049e-02	-2.425593e-01	-101.527
4.713282	2.476043e-01	-8.293193e-02	-2.333028e-01	-109.569
4.790549	2.476351e-01	-1.154188e-01	-2.190927e-01	-117.780
4.867816	2.475140e-01	-1.459274e-01	-1.999209e-01	-126.127
4.945083	2.473658e-01	-1.735926e-01	-1.762256e-01	-134.569
5.022350	2.473503e-01	-1.978822e-01	-1.484076e-01	-143.131
5.099617	2.474014e-01	-2.181502e-01	-1.166959e-01	-151.856
5.176883	2.473460e-01	-2.334922e-01	-8.161754e-02	-160.733
5.254150	2.471899e-01	-2.432197e-01	-4.412473e-02	-169.717
5.331417	2.471033e-01	-2.470499e-01	-5.137579e-03	-178.809
5.408684	2.471374e-01	-2.447041e-01	3.459469e-02	171.953
5.485951	2.471399e-01	-2.357744e-01	7.408457e-02	162.556
5.563218	2.470116e-01	-2.201537e-01	1.120138e-01	153.033
5.640485	2.468737e-01	-1.982070e-01	1.471754e-01	143.405
5.717752	2.468599e-01	-1.703951e-01	1.786206e-01	133.650
5.795019	2.468898e-01	-1.371310e-01	2.053038e-01	123.741
5.872286	2.468123e-01	-9.915234e-02	2.260202e-01	113.686
5.949553	2.466618e-01	-5.765815e-02	2.398283e-01	103.518
6.026820	2.465880e-01	-1.393301e-02	2.461940e-01	93.239
